usr1,usr2
1424016,4250706
209803,1513467
101455,1956315
278913,884982
20707,570900
986847,1714705
20707,631996
29755,788587
13743,25430
68636,6808752
1712598,2463963
232755,4435835
68636,493975
46271,111461
739796,932135
887375,2661032
3700974,6902645
2803008,5724228
5988485,6213971
792285,5516634
7261,85051
1385270,2229334
2818736,4724924
233976,2411545
33054,505852
85051,2169738
587102,6190771
30863,6213971
278913,2225982
887375,6119599
1077837,2438710
72342,739796
1962045,3282780
156568,539015
111461,3749329
3269965,7534116
435688,459282
125009,2054463
1756703,2229334
209811,1758425
402967,1372282
1067313,7496333
916926,4424345
33841,887375
434165,4250706
1798463,1836668
1077837,2828992
1372282,4250706
473,33841
136510,435688
156568,2067052
92843,1451192
9211,1547483
434165,6527694
600122,2141080
1714705,2525897
1756703,3481577
56748,1152071
57421,5988485
82192,521120
402967,1419052
13217,87069
915191,3011117
1144573,1424016
2223873,4035394
570900,1758425
6171,3481577
694259,1152071
1118283,6212380
396323,1405995
64356,1513467
93746,359482
438326,539015
1385270,6212380
23567,2818736
396323,912312
136510,3282780
516819,1548496
405590,755148
273426,711003
396323,2818736
1118283,1937524
887375,2463963
627271,7991310
54161,2404390
157494,3011117
13217,3203536
686203,1076044
1387211,2438710
56154,4035394
3744310,7534116
2229334,8634891
7210,2828992
68605,620271
157494,7789569
2525897,2803008
33841,5642707
63134,101455
516819,1372282
54906,3282780
2463963,2502438
23567,5960075
430086,8343416
1379054,2908342
4250706,5960075
27266,430086
2277728,3700974
792285,1937524
1118283,2828992
125878,4250706
1077837,1145853
521120,2853892
29755,3481577
537571,1379054
1279493,2646915
20707,23567
156568,1616594
63134,742786
209811,1279493
27266,3744310
1152071,6071306
72606,357940
1152071,1385270
1379054,7250838
6171,1229358
887375,2404390
359482,2169738
302697,620271
1145853,4942353
33841,998313
186270,399435
176259,792285
868924,4759041
1671300,7789569
6634170,7250838
385822,965006
2404390,4724924
396323,6071306
87069,8634891
2247283,2270968
4447,2908342
76946,430086
1424016,1754803
186270,1402639
402967,1947676
399435,631996
2818736,3744310
189281,430086
232755,405590
